EmployeeID,Age,Gender,MaritalStatus,JobRole,Department,EducationLevel,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrentManager,MonthlyIncome,SalaryHikePercent,StockOptionLevel,OverTime,WorkLifeBalance,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,PerformanceRating,TrainingTimesLastYear,AbsenteeismDays,LateComingFrequency,BurnoutScore,EngagementScore,StressLevel,MentalWellbeingScore,SleepQuality,SickLeavesLastYear,HealthRiskScore,ExerciseFrequency,WorkHoursPerWeek,ChronicFatigueLevel,SalaryGrowthRate,PromotionGapYears,AvgMonthlyHours,ProjectsHandled,Attrition,TimeToLeaveMonths,AttritionReason
1001,58,Male,Married,Manager,HR,2,6,5,5,4,95418,12.7,0,Yes,2,1,2,4,2,7,18,Low,82,46,2,61,Good,10,43,1,53,High,8.99,5,233,18,Yes,24,Work-Life Imbalance
1002,25,Other,Married,Sales Executive,Sales,5,23,18,6,22,135996,13.1,2,No,2,1,4,3,4,10,26,Low,37,86,3,51,Poor,20,53,2,34,Medium,7.36,6,143,18,No,0,None
1003,32,Female,Married,Developer,HR,1,20,12,8,2,93711,21.6,2,Yes,4,4,4,2,3,2,7,Medium,25,83,4,56,Poor,4,51,7,52,Low,8.67,8,211,14,No,0,None
1004,56,Male,Married,Analyst,Operations,3,35,0,7,34,120141,1.4,2,Yes,4,2,4,1,3,8,24,Low,75,51,3,62,Average,5,39,0,42,Medium,5.3,7,198,8,Yes,18,Burnout
1005,21,Male,Married,Developer,IT,4,4,4,1,1,63480,0,1,Yes,4,2,2,3,4,10,20,Low,63,62,2,65,Average,7,42,0,60,Low,10.44,1,274,3,No,0,None
1006,50,Male,Married,Manager,Operations,2,36,36,30,15,147876,1.1,1,Yes,4,3,4,4,4,0,21,Medium,46,74,3,57,Poor,17,56,7,53,Medium,9.96,30,230,18,No,0,None
1007,24,Male,Divorced,Developer,IT,2,10,6,7,7,78429,14.9,0,Yes,1,4,3,4,3,6,22,High,84,57,4,52,Good,17,81,0,49,High,6.63,7,214,17,Yes,6,Health Issues
1008,23,Female,Single,Developer,HR,4,7,3,0,1,71645,13.2,2,No,2,3,2,3,4,2,21,Medium,11,100,1,85,Average,3,20,1,30,Low,6.89,0,126,8,No,0,None
1009,41,Male,Married,Sales Executive,Sales,5,33,0,19,6,143469,9.0,0,No,2,3,3,2,3,3,21,Medium,43,90,1,80,Poor,0,24,5,41,Low,2.35,19,175,14,No,0,None
1010,53,Male,Single,Manager,Operations,1,23,18,17,4,102034,10.6,2,No,1,3,2,2,1,5,24,Medium,73,44,2,70,Good,5,44,6,52,High,9.01,17,230,8,Yes,11,Better Opportunity
1011,35,Male,Married,Analyst,IT,4,14,3,13,14,75595,11.1,1,Yes,2,4,3,3,1,4,11,Medium,30,100,5,38,Good,8,83,2,30,Low,2.44,13,121,11,No,0,None
1012,45,Female,Married,Analyst,Operations,2,16,1,13,0,45025,8.9,1,No,1,3,3,1,3,8,9,Medium,34,96,5,47,Good,5,73,4,30,Low,12.22,13,133,20,No,0,None
1013,59,Male,Married,Manager,Operations,4,10,10,1,4,88863,9.3,2,Yes,2,3,2,2,2,0,1,Low,36,85,1,51,Average,12,47,7,46,Medium,9.33,1,213,4,No,0,None
1014,45,Male,Married,Sales Executive,Finance,1,35,15,7,29,111219,14.2,2,No,4,4,4,2,4,7,8,Medium,36,75,5,32,Average,9,69,3,39,Medium,11.48,7,172,5,No,0,None
1015,31,Male,Married,Sales Executive,Finance,4,3,1,3,3,82421,6.3,0,No,4,4,1,3,3,6,27,High,39,69,5,46,Average,8,55,6,32,Medium,8.36,3,142,15,No,0,None
1016,26,Other,Married,Analyst,Operations,5,1,0,1,0,78365,7.6,2,No,2,4,3,3,4,4,24,High,19,99,4,60,Good,11,62,3,31,Medium,2.35,1,133,7,No,0,None
1017,19,Female,Single,Analyst,IT,5,13,7,11,4,96963,7.0,0,No,2,3,1,1,3,9,21,High,19,100,2,77,Average,3,40,4,46,Low,3.62,11,215,12,No,0,None
1018,52,Male,Married,Sales Executive,Sales,1,26,26,15,3,68997,11.9,3,No,4,2,3,4,4,6,26,Medium,26,100,1,70,Average,18,50,6,35,Low,12.0,15,141,9,No,0,None
1019,39,Male,Married,HR,Operations,1,33,12,5,15,92753,4.3,1,No,4,4,1,1,3,3,12,Medium,23,100,4,39,Good,17,73,5,34,Low,11.53,5,148,11,No,0,None
1020,25,Female,Divorced,Manager,HR,2,30,8,23,18,148096,9.1,2,No,2,3,2,3,2,4,0,Medium,48,78,1,57,Poor,15,43,1,47,Medium,4.25,23,196,2,No,0,None
1021,34,Female,Married,Developer,Finance,4,4,4,0,1,94420,15.2,2,Yes,2,1,4,2,5,6,14,High,59,83,4,43,Average,3,54,3,45,Low,5.78,0,194,6,Yes,8,Work-Life Imbalance
1022,18,Male,Married,Analyst,Sales,1,14,4,11,4,53195,4.7,1,No,2,4,1,2,2,4,26,Low,69,71,5,39,Average,9,68,6,48,Medium,6.34,11,208,14,No,0,None
1023,38,Female,Single,Manager,Operations,5,1,1,0,0,80593,11.3,2,Yes,4,4,1,4,3,6,10,Low,57,75,4,45,Good,17,69,0,43,Low,8.97,0,194,17,No,0,None
1024,18,Female,Married,Analyst,IT,2,33,23,31,28,106634,6.6,1,No,4,4,1,1,5,3,22,Low,11,90,1,75,Poor,3,29,2,30,Medium,8.06,31,126,16,No,0,None
1025,33,Male,Single,Manager,Operations,5,8,1,4,6,101866,17.4,2,No,3,3,4,2,4,8,15,Low,12,89,4,66,Good,7,48,6,41,Low,14.88,4,175,13,No,0,None
1026,42,Other,Married,Manager,Finance,1,8,8,5,1,87368,6.2,3,Yes,2,4,2,1,4,4,10,Medium,60,72,3,67,Average,10,37,7,51,Low,7.22,5,203,8,No,0,None
1027,23,Male,Single,Developer,Finance,2,19,0,1,10,96573,6.0,2,No,2,4,2,2,2,1,19,High,36,76,5,46,Poor,8,83,0,47,Low,5.34,1,198,12,No,0,None
1028,55,Male,Divorced,HR,Finance,3,12,6,7,1,75569,16.5,2,No,3,1,4,3,1,9,27,Medium,29,82,5,39,Good,7,65,5,41,Low,10.55,7,176,5,No,0,None
1029,58,Male,Married,Developer,Sales,4,2,2,1,2,101300,18.1,2,No,2,2,2,3,5,8,29,Low,61,88,4,56,Good,14,59,1,53,High,16.06,1,223,18,No,0,None
1030,41,Male,Married,HR,Operations,1,29,11,21,23,78679,4.1,2,Yes,2,4,1,3,5,3,20,Low,79,40,3,53,Poor,15,49,1,63,High,12.79,21,263,18,Yes,24,Burnout
1031,44,Female,Married,Analyst,IT,4,39,26,17,2,134152,6.7,3,No,3,1,3,3,1,6,8,Low,50,88,4,53,Average,0,63,0,41,Low,5.09,17,172,18,No,0,None
1032,31,Female,Married,Manager,Sales,2,38,0,17,9,164641,9.5,1,Yes,1,2,1,3,2,9,10,Low,64,73,4,31,Good,16,76,1,44,Medium,8.84,17,186,17,No,0,None
1033,37,Male,Divorced,Developer,Finance,4,27,21,3,15,125198,4.7,0,Yes,2,1,2,3,5,10,18,Medium,42,100,5,36,Average,3,63,3,34,Medium,11.56,3,150,4,No,0,None
1034,38,Male,Married,HR,HR,4,4,0,0,0,45452,13.4,2,No,1,3,1,4,3,10,30,Medium,61,57,3,48,Average,15,58,3,44,Medium,4.96,0,195,8,No,0,None
1035,45,Female,Divorced,Sales Executive,Operations,5,1,1,0,0,68294,18.4,2,No,2,2,4,1,2,10,0,Low,30,83,4,42,Average,18,88,1,43,High,6.44,0,188,15,No,0,None
1036,60,Male,Married,Analyst,Sales,2,32,7,22,27,121324,14.8,3,No,3,1,2,4,5,0,0,Low,54,67,3,54,Average,13,53,2,46,Low,11.58,22,183,12,No,0,None
1037,22,Male,Married,Analyst,IT,4,4,2,4,3,46878,6.5,3,Yes,4,1,3,2,5,7,26,Medium,39,88,1,72,Average,12,38,4,49,High,5.17,4,223,17,No,0,None
1038,50,Male,Married,HR,HR,2,6,1,2,1,55995,12.6,0,Yes,4,4,4,3,3,2,14,Low,38,84,3,48,Poor,14,56,7,57,Low,8.9,2,228,3,No,0,None
1039,57,Female,Married,Sales Executive,Operations,1,28,25,18,20,93736,16.3,1,No,4,1,3,1,5,10,5,Low,17,61,5,34,Average,9,62,6,33,Medium,9.97,18,145,3,No,0,None
1040,39,Male,Married,HR,Sales,5,9,5,1,9,70724,0.5,2,No,4,2,1,3,5,6,20,Medium,38,67,5,52,Average,0,56,5,32,Low,17.16,1,138,5,No,0,None
1041,27,Male,Married,Developer,Operations,5,33,2,21,8,143888,8.3,1,No,2,4,1,4,3,10,23,Low,33,86,4,48,Good,15,78,3,30,High,15.16,21,121,13,No,0,None
1042,50,Female,Divorced,Manager,Operations,2,16,1,15,11,95426,9.2,0,Yes,2,3,4,2,4,1,30,High,77,42,1,63,Average,2,22,5,51,High,11.46,15,216,2,Yes,14,Burnout
1043,36,Female,Married,Manager,Finance,4,39,0,5,1,166940,19.5,3,Yes,3,2,3,1,1,3,13,Medium,46,74,4,46,Average,7,69,2,49,Low,8.22,5,204,3,No,0,None
1044,51,Other,Single,Sales Executive,Operations,5,32,1,24,30,148285,11.3,2,Yes,1,3,1,3,2,10,20,Low,43,70,2,76,Good,5,45,7,59,Low,7.45,24,264,15,No,0,None
1045,20,Male,Single,Manager,IT,3,19,16,12,17,113959,10.2,1,Yes,1,3,3,1,3,6,28,Low,30,94,3,67,Average,16,62,4,54,Low,1.88,12,217,18,No,0,None
1046,36,Male,Single,HR,Sales,4,38,27,10,28,133371,11.2,2,No,4,3,1,1,4,5,16,High,14,70,2,72,Average,4,21,1,41,Low,13.74,10,178,5,No,0,None
